Article ID,If you read,Rec ID 1,Recommendation 1,Rec ID 2,Recommendation 2,Rec ID 3,Recommendation 3,Rec ID 4,Recommendation 4,Rec ID 5,Recommendation 5
4463025528374352465,The Blockchain is the new Google,-1804728901674946596,Barclays finally launches Apple Pay | The Memo,1431351528207086249,Global Blockchain Forum Launched to Coordinate Regulatory Interoperability and Best Practices,-1868297195590431285,Blockchain CEO's Business Advice on Bitcoin Startups,-7900768082301348135,"Band plays on, as global oil glut leaves supertankers in a huge jam",-5600393064072065417,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'"
2841458704671711663,8 things to expect from Google's biggest event of the year,-720777800522871309,Man accidentally deletes his entire company with one line of bad code,1362723651715193305,Virtual Weapons Are Turning Teen Gamers Into Serious Gamblers,-1737937277055036780,How We Got on Product Hunt Without ANY Preparation & the Gobs of Money We Made,4303142677581479651,Do Crows Hold Funerals for Their Dead?,5156657166068502754,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals"
549631724393582960,Optimize Your Agile Growth Strategy with Cloud,-8312968399134741370,How AWS came to be,2760335717049716507,"Razorfish, US digital revenues, drag down Publicis",-4126288159365354498,NOW NEW NEXT: How growth champions create new value,5533752987392101383,7 Questions to Ask Before Your Next Digital Transformation,5930806521893160184,Five things to include in your digital transformation playbook
-7527881206365368,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,1851975995406778464,PICNIC,5530820581773167955,Mulheres são mais criativas que homens?,6377566860234930618,How to Create a Unified Culture in a Company With Multiple Offices,8640945691036622521,The invention that helped me write again - BBC News,-5786811453218931415,Meninos com Down abrem a própria empresa de pizzas e fazem o maior sucesso em eventos
-6713697716910928909,Solidity Available in Visual Studio - Ethereum Blog,-5204755921272353160,The Progress of Web Apps - On the Edge,2668385070649954934,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",-5315378314308323942,Developing iOS 9 Apps with Swift - Curso grátis de Stanford no iTunes U,8267509427016592713,The Art Of Layout Testing With Galen Framework - Smashing Magazine,-3751398885033121551,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-6603970730135147059,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,-1119244241345534741,A Technical Primer On Causality,3116298625885250927,ESA says doomed Mars lander succumbed to bad altitude reading,7756118769128656312,Mastering Software Development in R · Simply Statistics,8926283897590637985,What A Difference 2 Percentage Points Makes,7104734618727920421,Kelso's Corner
-1901742495252324928,Designing smart notifications,-5024561776910686117,How Airbnb uses Machine Learning to Detect Host Preferences - Airbnb Engineering & Data Science,-8800029253812071912,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",3320201327008235211,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,-4228415104574264137,Up your app's sharing game with DirectShare - Google Developers,-6347212504547574224,Building more accessible technology
-1181242543195516037,Asus ready to take bite of 'Pi' market with Tinker micro PC,231281690254211527,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,4430356355587165611,Google's Tensor Processing Unit explained: this is what the future of computing looks like,-2405892683303291957,"""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",2867605706298498445,Put a ring on it: three smart rings with plenty of beauty and brains,5312357518363318341,Apple's Machine Learning Has Cut Siri's Error Rate by a Factor of Two
-6932442635231192683,The new 64-bit Orange Pi is a quad-core computer for $20,-3105075547863520421,Peter Doig sued for disavowing 40-year-old painting,-2477364558321255827,"PostgreSQL Bloat: origins, monitoring and managing",-2375266175756882986,Aligning text smartly in CSS,-2213320166727371491,MacOS Sierra Preview,-6171950598721418038,How To Avoid Equidistant HSV Colors
6642437212220341339,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,3180828616327439381,Governo define cronograma para plano nacional de Internet das Coisas,-8879983698341300928,Boot camp São Paulo/SP :: Torne-se um Service Design Sprint Master,-2462651558329037716,Curso mbed na KL25Z - Primeiros passos - Embarcados,-4336877432539963613,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,-5829979886567267504,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries"
-7448252416950961815,Apple Unveils iPhone 7 Alongside 7 Plus With Dual-Lens Camera,-799315203186826480,What to Expect at WWDC 2016,-4974757204495953627,Alecrim/AlecrimCoreData,-3027055440570405664,Joel on Software,-5808672937983623398,How Netflix does A/B testing - InVision Blog,-2139739377293212491,"Jamf conference: IBM cutting costs w/ largest enterprise Mac deployment, 100,000 by end of year"
6412479507689487223,Microsoft's new online certification program kicks off with data science specialization | ZDNet,-645584250289067285,I'm trying my hardest to slow the fuck down - HI MY NAME IS JON,6607431762270322325,"JPMorgan Software Does in Seconds What Took Lawyers 360,000 Hours",3750772607644674028,What DeepMind brings to Alphabet,8993230615635349817,MIT and Microsoft Research made a 'smart' tattoo that remotely controls your phone,-583471248660258378,"De Zelotes ao ""projeto secreto de TI"": diretores do Bradesco respondem dúvidas do mercado"
-3954182109690207118,Google Cloud Goes to the Farm,-1137602700803601559,Polly.ai raises $1.2 million to help companies poll their employees,5314107418764884230,Deep learning software knows that a rose is a rose is a rosa rubiginosa,-5181489804915739633,New Sessions Added To Google I/O 2016 Schedule,5237574390644778994,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",-5027816744653977347,"Apple acquires Turi, a machine learning company"
4105873627900556540,Sua comunidade de Teste.,4904775878165401439,My Approach to Mobile Accessibility Testing - Ministry of Testing,-6192579321116251081,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web,5658521282502533116,ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,6236312923258954569,5 Asian Trends for 2017,2229625391864201918,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog
1797385737206265555,Breaking: Apple's Search Ads go LIVE!,286115624311598644,Why Erlang Matters,-3367778232969996503,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",4579557799493615039,Google may be considering Swift for use on Android,-4761420664091904483,Now playing: New ISO security and privacy certifications for Google Cloud Platform,1099809408921653201,React v15.0.1 | React
-7463305179076477879,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,-1342820011354825290,CMO interview: Putting IBM's marketing technology under the microscope,-7174595923544719736,Learning at the speed of business,2822049545552366036,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,5913609969272242724,Lessons learned from a year of using live migration in production on Google Cloud
-1591454024897803197,How OKCupid Changed Hiring Forever.,-5826278791285476287,"""We only hire the best"" - Signal v. Noise",-2271868873349907631,Building A Better Workforce: 5 Talent Trends Worth Watching,5441077925667941052,[FILME] - The Hammer,-6659933088254630422,How to E-Mail a Busy Person & get a Reply - Desk of van Schneider,991271693336573226,Este é o melhor jeito de entender como as mulheres sofrem machismo na área de TI
8596997246990922861,This year's Founders' Letter,1662917027785920354,"Gchat Was the Future of Messaging, But Google Didn't Know What It Had",-3820497466351868775,DeepMind moves to TensorFlow,5314107418764884230,Deep learning software knows that a rose is a rose is a rosa rubiginosa,-5027816744653977347,"Apple acquires Turi, a machine learning company",-6940659689413147290,An Exclusive Look at How AI and Machine Learning Work at Apple - Backchannel
7697593937932606048,Top 5 conteúdos 2016 - Sensedia,362899217568283146,Creating Code Coverage Reports for Unit and Integration Tests With the JaCoCo Maven Plugin,-5605799891597699962,Concrete things you can do about your technical debt,6070279813975953742,BACK FROM THE DEAD - TrendWatching,-8762137947059829459,"Google I/O 2016: Develop, Grow & Earn",5199666313044493096,Introducing the new Google Cloud Load Balancing UI
2362495898257544462,How Do Top Android Developers QA Test Their Apps?,1981046186743381313,State of the Digital Nation 2016,-8739701156093513292,The Lifecycle of a Pod,30461094217357731,Kubernetes 1.3 on tap for Google Container Engine,-4487024160266973763,Visa inaugura Co-Creation Center em São Paulo,-7876497512693688413,The Joel Test: 12 Steps to Better Code
4117174730087083056,Revolutionize business communication with Kast,5191381587333696286,DTCC and Digital Asset Holdings to Test Blockchain Solutions for the $2.6 Trillion Repo Market,-273156842634169039,4K movies come to the Google Play Movies & TV app,7933362470375280252,"Detecting the use of ""curl | bash"" server side",4235212484048164433,Coca-cola traz ao Brasil sabores cereja e baunilha,3742318026370211556,Second Gravitational Wave Detected at LIGO
-5025556998520984849,How Did L.A. Become a City of Palms?,-6313130301986591995,Face recognition app taking Russia by storm may bring end to public anonymity,6009447229221815725,[Tools] How to Record your Desktop Screen with YouTube,2379460324923679020,[Canais Digitais] Banco Agiplan lança app que elimina intermediários ou pagamento de taxas - E-Commerce News,-4351117979148287331,Pastejacking,-5820943153819992582,Google : End Of The Online Advertising Bubble
5514214996211995551,johnpapa/angular-styleguide,5263606973029607223,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",-4754223659064624252,Effective learning through code workshops | Box Blog,2081512200574495983,Chip Pro sequel to crowdsourced $9 computer sets its sights on gadget makers,-1111518890369033396,The Business Case for Progressive Web Apps,-6643406494673362190,Vendas da Netshoes crescem 267% em dispositivos móveis no 1º semestre - 24Brasil
-8222568914848295086,What Millennials Want from a New Job,-3886927790136130174,"Three cultures, three continents and three lessons on leadership",-4509487968959834430,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,880612740433495828,O que você deve fazer para se tornar um líder melhor?,7467940062038388159,4 lessons we can learn from Denmark about happiness at work,-5952729859839521828,Investimentos em coaching e mentoring aumentam nas empresas
-5193720747719231594,#FinTech is all about human-centred design - Chris Skinner's blog,374352050712569304,O tênue equilíbrio da equipe que desenha produtos digitais,-7162567255723313045,Chatbots: Are they better without the chat?,-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,-8349788035147634450,How Mature is Your Organization when it Comes to UX?,39554158227241538,Campus São Paulo: conheça a primeira turma do Programa de Residentes
6793894801847439981,Why Thieves Steal Soap,-5867424949902842953,Facebook Messenger's David Marcus on the rocky rollout of bots,6984066580750577207,Google Calendar's newest feature uses machine learning to help you actually accomplish your goals,1729892529360390310,5 motivos para não escrever 5 motivos,-5204755921272353160,The Progress of Web Apps - On the Edge,2668385070649954934,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
3564394485543941353,Google Is About to Supercharge Its TensorFlow Open Source AI,8637400873589298078,Google launches distributed version of its TensorFlow machine learning system,3394403706511230595,Scanning hyperspace: how to tune machine learning models,2335028422423709400,Lessons from a Google App Engine SRE on how to serve over 100 billion requests per day,-2208293144000550811,Docker Cleanup Scripts Comparison,668505019835540303,Bayesian machine learning
4383035933260676803,"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal",-873780453963615794,Taco Bell chega ao Brasil no segundo semestre desse ano,8461560915246826477,Solange Oliveira,3361679265573758500,Operator fuses bots with humans to build cyborg shopping experts,-8343581376353287618,Amazon passa Google como ponto de partida para buscas de e-commerce - IDG Now!,34557439830244258,Sympathy for Lady Vengeance (2005)
-1469918446833331103,"Reaching for the Stars, Across 4.37 Light-Years",8289800212949675494,"Which countries study which languages, and what can we learn from it? | Making Duolingo Blog",-5204755921272353160,The Progress of Web Apps - On the Edge,2668385070649954934,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",8267509427016592713,The Art Of Layout Testing With Galen Framework - Smashing Magazine,-5618100784509704440,WebAIM: WebAIM's WCAG 2.0 Checklist - for HTML documents
4751741894255718069,What do Design Thinking and Marketing have in common?,-5691384416070374740,OKR e meta: minha experiência no Runrun.it,-2429242279408079104,9 Useful Apps for Product Managers - Product Hunt,5384282624557636856,Three Lessons for Design-Driven Success,5842191581670322333,3 Pillars of the Most Successful Tech Products,8295457724580096419,The Startup Zeitgeist
-6999287066519531005,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,-6863138929434705713,State of Drupal 2016 survey | Dries Buytaert,6868454399455433725,7. What's in this for me?,4555339116751579515,Meet Aquifer: A build system for easier Drupal development,-5017021199558167721,Dries Buytaert,2435024834845042614,How To Manage Your Drupal Patches with 'Drush Patch File' | Chromatic
-5658245291907121574,Machine Learning and the VP Debate,-7126520323752764957,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",786135087362634258,Why Steve Jobs Was Proud to Steal Ideas,3566197569262766169,Gmail API: New endpoints for settings,-1060990524105135617,"Introducing a new developer show ""Machine Learning: Recipes for New Developers""",-6467708104873171151,5 reasons your employees aren't sharing their knowledge
-1637159115260338032,"Terrapattern is reverse image search for maps, powered by a neural network",1698483880714927645,"Google's AI engine is reading 2,865 romance novels to be more conversational",-6566328419164841526,"Feeding 10 billion people with cloud computing: Land O'Lakes, Inc. moves to Google Cloud Platform",-2990485643677949494,The Secret History of Agile Innovation,910894669274456978,"Franz - from idea to 10,000 daily active users in 26 days - Meet Franz",-3114161754347804356,How Google sets goals: OKRs - GV Library
-2273517184910006534,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,,,,,,,,,,
1751822544912242581,Expanding our IDE support with a new Eclipse plugin for App Engine,7933362470375280252,"Detecting the use of ""curl | bash"" server side",-273156842634169039,4K movies come to the Google Play Movies & TV app,885269153482673496,"Filtering and formatting fun with gcloud, GCP's command line interface",7203367456821804602,1. Why ecommerce matters,6634206168889468590,3. The case for Drupal and SaaS
-1068603220639552685,Onde a tecnologia e o cuidado se encontram? - Saúde Business,-1463025432902754108,Transformação digital na Saúde: 3 pilares que devem ser reinventados - Saúde Business,-5794047401651735687,Dasa compra rede de laboratórios SalomãoZoppi,5726008417498979736,[Framework] Lean IT Governance,2050138727387005412,"Dasa anuncia compra do laboratório Leme, da Bahia",7077639154797499584,[Tools] XMind Plus - Last Chance for students' 1$ gift
4241385837165861843,Understanding the Twitter topic Tracker,5350829677696205474,2016 will be the year of conversational commerce - Chris Messina,-3964583697784528168,Caravel: Airbnb's data exploration platform - Airbnb Engineering & Data Science,786135087362634258,Why Steve Jobs Was Proud to Steal Ideas,-1173087925894083974,AI can learn from data without ever having access to it,7400247075626691905,Google may unveil Android VR headset at I/O conference
8878031598946138458,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",-1081723567492738167,'Magenta' Is Google's New Project To Make Art With Artificial Intelligence,-7051470020148066326,'Machine learning' is a revolution as big as the internet or personal computers,-6467708104873171151,5 reasons your employees aren't sharing their knowledge,7813943820850065086,Twitter adds a button to help you train its algorithm,6525794335263078309,The Startup Pivot Pyramid - How to Pivot Your Startup the Right Away Using Growth Marketing Mindset
-6727357771678896471,This Super Accurate Portrait Selection Tech Uses Neural Networks,-3269885695260066314,The Competitive Landscape for Machine Intelligence,201515581783532281,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,-3662111110237135231,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",365571143597993923,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,786135087362634258,Why Steve Jobs Was Proud to Steal Ideas
4328888515190573663,Vídeo impactante faz você sentir na pele o preconceito contra LGBTs,1649085803937938638,Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,2633033854118851671,Como o novo algoritmo do Facebook afeta sua estratégia de Marketing,4296604388230897073,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia",2927476152522512441,Equal Pay Day in the spotlight this year,8326017498198914888,"""Strut"", reality de modelos trans produzido por Whoopi Goldberg, ganha primeiro trailer"
7077639154797499584,[Tools] XMind Plus - Last Chance for students' 1$ gift,7401798504722165526,"[Techniques] Será que você está fazendo ""brainstorm"" da forma correta? - Blog Locaweb - Notícias sobre tecnologia, programação e muito mais.",5726008417498979736,[Framework] Lean IT Governance,2513724012883866928,[Webinar] PMI | Project Management Institute,-1463025432902754108,Transformação digital na Saúde: 3 pilares que devem ser reinventados - Saúde Business,-5794047401651735687,Dasa compra rede de laboratórios SalomãoZoppi
-3605608255586388018,"GitHub broke my 1,000 day streak - Free Code Camp",-8734181034726403477,Windows Subsystem for Linux Overview,7345394467579731315,Introducing the IBM Bluemix Garage Method Field Guide - Bluemix Blog,6409304780354173378,Open Sourcing Twitter Heron | Twitter Blogs,-8449536481786923901,Recently confirmed Myspace hack could be the largest yet,8424505741986577894,4 Blockchain Macro Trends: Where to Place Your Bets
-1525688508571111688,Introducing JIRA Software for iPhone,6615662748793536194,Especial: O papel dos grandes provedores de TI na Rio 2016,-5941854046477982982,Google lança teclado virtual para iPhone com recursos de pesquisa | Google Discovery,-9040419159428373932,"Depois da Inteligência Artificial, vem aí a Inteligência Paralela",-9152398073968262186,"Microsoft Is Now 'Open By Default', Says Xamarin Founder Miguel de Icaza",7511744555558105059,7 Ways Meditation Can Actually Change The Brain
-4893195573827770029,The cynical bankers' trick: show me the money - Chris Skinner's blog,-2630716662499331227,Digital Consumers Forced to Open Accounts in Branches,-4925213312961842798,American Express ... and the Book of Mormon - Chris Skinner's blog,-3645539449929727083,"Why 3,000 bank branches must close",-3060116862184714437,Where is the bank's digital vision? - Chris Skinner's blog,-8243488279185272615,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
-659411840002799494,Bill Gates Recommends These 9 Books to Make You a Better Entrepreneur and a Better Person,-1672165618620086344,Planejamento Estratégico Pessoal | Endeavor Brasil,6953968734027801757,"""Disrupção não depende da tecnologia, depende das pessoas"": as lições do cofundador do Waze - Startupi",-1104501717379772664,"Mastercard disponibiliza autenticação de pagamento por ""selfie"" no Brasil e México - Startupi",-7255737497176527784,Siga o líder,3510349622718287202,20 Percent Will Stop Reading Your Email If You Make This One Mistake
2951308020527021494,Rimini Street anuncia suporte para Oracle ATG Web Commerce | EXAME.com,6909761382991856804,"Fundador da Netshoes fala ao E-Commerce Brasil sobre inovação, gestão de pessoas e futuro",2215773447123360543,Como a Netshoes se preparou para a Black Friday deste ano,-9157338616628196758,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,9121100366909552616,VTEX expande parceria com SafetyPay para oferecer pagamento via lotéricas - IDG Now!,-2167839778474325326,Black Friday salva o ano do e-commerce
3720742491238027703,29 Common Google Analytics Data Errors And How To Fix Them,7469361608711738006,Land Rover's lead engineer explains autonomous off-road driving,4460664691673874476,"Microsoft comprará LinkedIn por 26,2 bilhões de dólares | EXAME.com",3310859214930485296,"Em Paris, livraria troca estoque por máquina que imprime obras na hora",4441012164161473407,5 Ways to Save Time During Research | Viget,4702466408529036844,Unilever cria e-commerce para lojas de bairro | EXAME.com
167668355036921406,"Canonical libera patches de segurança para os sistemas Ubuntu 12.04, 14.04, 16.04, 16.10 e derivados",722931447608069342,Serasa Experian realiza hackathon com prêmios de até R$10 mil - Startupi,-2864378895481874465,Machine Learning Unconference,3256054536066714292,Google moves to replace Flash with HTML5,4915137112517573184,Portugal runs for four days straight on renewable energy alone,8835339470389644264,Aplicativos do Android agora podem reagir com o ambiente | Google Discovery
7323176445666562417,Facebook wants to change the way Australians use mobile banking,8300126456272756546,Sphero's BB-8 toy will now watch The Force Awakens with you,2668385070649954934,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",-5204755921272353160,The Progress of Web Apps - On the Edge,8267509427016592713,The Art Of Layout Testing With Galen Framework - Smashing Magazine,-3751398885033121551,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
-1051830303851697653,Google Drive Is Scary-Smart at Searching Your Images,8497861351486449784,"Inside Capacitor, BigQuery's next-generation columnar storage format | Google Cloud Big Data Blog",4548329563501022787,"Inside Capacitor, BigQuery's next-generation columnar storage format | Google Cloud Big Data Blog",-548495338204268789,"Inside Capacitor, BigQuery's next-generation columnar storage format | Google Cloud Big Data Blog",6669026579073415958,IBM Watson is about to make Slack's chat bot smarter,-2181071289972835602,Google cloud to OpenStack users: Come on in!
-253149055249888078,Google Is in a Fierce Global Race for Scarce AI Talent,,,,,,,,,,
